weight,word,category,certainty,notes
4074,Uncharacterized protein,,,
1018,Ovalbumin,egg,1,
719,Glyceraldehyde-3-phosphate dehydrogenase,muscle,0,"binding partner of actin, tubulin, p22 (mt organization), skeletal muscle calmodulin dependent protein kinase"
690,Myosin motor domain-containing protein,muscle,1,
606,Titin (Fragment),muscle,1,passive elasticity of muscle
514,Myosin-1B,muscle,1,
513,Titin,muscle,1,
389,Carboxypeptidase A1,,,"digestive, but also responsible for protein maturation intracellularly"
353,Four and a half LIM domains 1,muscle,1,highly expressed in skeletal and cardiac muscle
351,Selenium binding protein 1,,,
309,Nucleophosmin,,,nucleolar protein in nuclei of proliferating cells
299,Myosin-7,muscle,1,
284,Myosin-2,muscle,1,
280,Ig-like domain-containing protein,,,
227,Methanethiol oxidase,,,"Catalyzes the oxidation of methanethiol, an organosulfur compound known to be produced in substantial amounts by gut bacteria.  Interestingly another selenium-binding protein"
221,Actin (Fragment),muscle,1,
204,"myosin heavy chain, fast skeletal muscle-like",muscle,1,
190,Myosin-4,muscle,1,
176,MYH3 protein,muscle,1,A conventional myosin
175,Lysozyme C,,,Bacteriolytic function
169,SERPIN domain-containing protein,egg,0,Note that ovalbumins are serpins that lack protease inhibitory activity
167,Ovalbumin-related protein Y,egg,1,
164,Histone H4,,,
150,Transthyretin,,,"Also called ""prealbumin"" but only because it ran faster on gel in early experiments-- transfer protein in plasma and CSF for thyroxine and retinol"
149,Calcium-transporting ATPase,muscle,0,
134,Myosin heavy chain 4,muscle,1,
128,Fibrinogen C-terminal domain-containing protein,,,A type II trans-membrane endocytic receptor that is expressed apically on enterocytes
124,Avidin,egg,1,
123,Fructose-bisphosphate aldolase,muscle,0,"Glycolysis, likely high in skeletal muscle"
113,Glycoprotein 2,,,Expressed on gut epithelial cells
111,Ovotransferrin,egg,1,
108,Filamin C,muscle,1,Functions at Z-discs and subsarcolemmal regions in skeletal muscle
107,Alpha actin,muscle,1,
107,Uncharacterized protein (Fragment),,,
106,Creatine kinase M-type,muscle,0,"Play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoa"
102,"Alpha-1,4 glucan phosphorylase",,,Carbohydrate metabolism (could be either host or microbial)
98,Dipeptidyl peptidase 4,,,Circulating or transmembrane serine exopeptidase that cleaves X-proline or X-alanine dipeptides from the N-terminus of polypeptides
90,Beta-enolase,muscle,0,Predominantly expressed in skeletal muscle
90,Myosin heavy chain-2,muscle,1,
85,Annexin,muscle,0,"Characterized by their calcium dependent ability to bind to negatively charged phospholipids (i.e. membrane walls), play roles in scaffolding"
84,Alpha-actinin-2,muscle,1,
81,"Troponin T, fast skeletal muscle isoforms",muscle,1,
77,Protein TENP,egg,1,"Constitutes 0.1-0.5% of the egg white proteome, see https://pubmed.ncbi.nlm.nih.gov/24418699/"
72,Alpha-S1-casein,dairy,1,
71,Myosin heavy chain 7,muscle,1,
67,Triosephosphate isomerase,muscle,0,"Glycolysis, likely high in skeletal muscle"
65,"Myosin light chain 1/3, skeletal muscle isoform",muscle,1,
62,Troponin I,muscle,1,
58,Beta-casein,dairy,1,
57,Myosin_tail_1 domain-containing protein,muscle,1,
56,"SPG11 vesicle trafficking associated, spatacsin",muscle,0,Cortical projection neuron transport
55,Vitellogenin domain-containing protein (Fragment),egg,1,
54,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,muscle,0,
54,Vitellogenin-2,egg,1,
53,Ubiquitin,,,
52,Actin beta like 2,muscle,1,
50,Solute carrier family 25 member 4,muscle,0,Gated pore that translocates ADP from the cytoplasm into the mitochondrial matrix and ATP from the mitochondrial matrix into the cytoplasm
48,Heat shock protein cognate 5,muscle,0,Has ATP-binding activity-- could be abundant in muscle
48,Myosin heavy chain 2,muscle,1,
48,Slow-tonic S2 myosin heavy chain,muscle,1,
46,"myosin heavy chain, fast skeletal muscle-like isoform X4",muscle,1,
46,"Myosin regulatory light chain 2, skeletal muscle isoform",muscle,1,
40,IF rod domain-containing protein,tissue,0,Cytoskeletal component
40,Ubiquitin/ribosomal fusion protein,,,Covalent modification of proteinaceous substrates recycled by ubiquitin-proteasome system
39,ATP synthase subunit beta (Fragment),muscle,0,Mitochondrial
38,"Phosphate carrier protein, mitochondrial",muscle,0,Mitochondrial
37,Myosin heavy chain 13,muscle,1,
34,L-lactate dehydrogenase (Fragment),muscle,0,Glycoloysis
34,Progastricsin,,,"Pepsinogen precursor of the enzyme gastricsin, produced in stomach"
32,Membrane metalloendopeptidase,,,Extracellular and transmembrane peptide cleavage
31,Formin 1,tissue,0,Adherens junction protein
30,Fast myosin heavy chain (Fragment),muscle,1,
29,Pyruvate kinase,muscle,0,Last step of glycolysis
29,Zgc:86709,muscle,1,"Alpha actin, cardiac muscle 2"
27,"Creatine kinase U-type, mitochondrial",muscle,0,
27,Enteropeptidase,,,"Produced by duodenal cells, involved in digestion"
26,Heart-and neural crest derivatives-expressed protein 2,muscle,0,"Angiogenesis, cardiac morphogenesis, branchial arches"
26,Heat shock protein,muscle,0,Has some muscle function among many (note that ubiquitin also an HSP)
25,Myosin motor domain-containing protein (Fragment),muscle,1,
25,Skeletal muscle actin 3,muscle,1,
25,"Troponin C, skeletal muscle",muscle,1,
24,Ferritin,muscle,0,Skeletal muscle iron stores
24,Reticulon,,,"Present in endoplasmic reticulum, abundant cellular roles"
24,Serum albumin,egg,1,
23,Peptidase A1 domain-containing protein,,,Potentially digestive
23,ZP domain-containing protein,egg,0,Think could have other roles: follow up on domain
22,Actinin alpha 2,muscle,1,
22,Alpha-S2-casein,dairy,1,
22,Myoglobin,muscle,1,
21,Collagen type I alpha 1 chain,tissue,0,
21,Cytoplasmic actin 1 (Fragment),muscle,1,
21,"Glycogen phosphorylase, muscle form",muscle,0,
21,Keratin 79,tissue,0,Hair canal migratory keratinocyte protein
21,"Myosin, heavy chain 6, cardiac muscle, alpha",muscle,1,
21,Neuronal acetylcholine receptor subunit non-alpha-2,muscle,0,Neuromuscular junction protein
21,Nucleoside diphosphate kinase,muscle,0,NDPK activities maintain an equilibrium between the concentrations of different nucleoside triphosphates
21,X-prolyl aminopeptidase 2,,,"Aminopeptidase P is a hydrolase specific for N-terminal imido bonds, which are common to several collagen degradation products, neuropeptides, vasoactive peptides, and cytokines"
21,Zymogen granule protein 16,,,Predicted to act upstream of or within defense response to Gram-positive bacterium and suppression of symbiont entry into host
20,GLOBIN domain-containing protein,muscle,0,"Hemoglobin, myoglobin (though could also be host-derived)"
20,Kappa-casein,dairy,1,
20,Muscle-type creatine kinase (Fragment),muscle,0,
20,Myosin light chain 1,muscle,1,
20,Projectin,muscle,1,An invertebrate connectin (titin)
19,Alpha-enolase,muscle,0,"Glycolysis, likely high in skeletal muscle"
19,Calsequestrin,muscle,0,Calcium-binding protein that acts as a calcium buffer within the sarcoplasmic reticulum
19,creatine kinase B-type-like,muscle,0,
19,Ovotransferrin (Fragment),egg,1,
19,Slow muscle myosin S1 heavy chain (Fragment),muscle,1,
19,titin-like isoform X20,muscle,1,
18,ADP/ATP translocase 2,muscle,0,
18,myosin-7-like,muscle,1,
17,"Creatine kinase, mitochondrial 2",muscle,0,
17,L-lactate dehydrogenase,muscle,0,"Glycolysis, likely high in skeletal muscle"
17,Myosin essential light chain isoform 1,muscle,1,
16,Gp_dh_C domain-containing protein,muscle,0,"Glycolysis: Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
16,"Troponin T, slow skeletal muscle",muscle,1,
15,calcium release-activated calcium channel protein 1-like isoform X1,muscle,0,
15,cGMP-dependent protein kinase,muscle,0,"Commonly regulate calcium homeostasis, calcium sensitivity of cellular proteins, platelet activation and adhesion, smooth muscle contraction, cardiac function, gene expression, feedback of the NO-signaling pathway, and other processes"
15,Hemoglobin subunit beta,muscle,0,Could also be cross-reactive-- check species
15,Myosin-1,muscle,1,
14,Acid sphingomyelinase-like phosphodiesterase,,,On macrophages
14,ANK_REP_REGION domain-containing protein,,,Unclear results
14,G_PROTEIN_RECEP_F2_4 domain-containing protein,,,Unclear results
14,N-acetylated alpha-linked acidic dipeptidase like 1,muscle,0,Expressed by non-myelinating Schwann cells in the peripheral nervous system
14,NDK domain-containing protein,,,Major role in the synthesis of nucleoside triphosphates other than ATP
14,Signal induced proliferation associated 1 like 2,,,Ubiquitous expression in many tissues
14,"Troponin C, isoform 2B",muscle,1,
14,Voltage-dependent anion-selective channel protein 1,muscle,0,
13,"Actin, gamma-enteric smooth muscle (Fragment)",muscle,1,
13,C-type lectin domain containing 9A,muscle,0,"Recognizes filamentous form of actin in association with particular actin-binding domains of cytoskeletal proteins, including spectrin, exposed when cell membranes are damaged"
13,Coiled-coil-helix-coiled-coil-helix domain containing 1,,,Transcription factor
13,Fumarylacetoacetate hydrolase domain containing 1,muscle,0,Mitochondrial protein
13,Glyceraldehyde-3-phosphate dehydrogenase (Fragment),muscle,0,Glycolysis
13,Lysosomal associated membrane protein 2,,,Lysosomal glycoprotein that provides selectins with carbohydrate ligands
13,Metabotropic glutamate receptor 2,,,In humans expressed only in brain: presynaptic terminal of glutaminergic neurons
13,Myosin heavy chain 7-like,muscle,1,
13,Nesprin-1,tissue,0,Multi-isomeric modular protein which forms a linking network between organelles and the actin cytoskeleton to maintain the subcellular spatial organization
13,"Troponin T, fast skeletal muscle",muscle,1,
13,UDP-glucose 4-epimerase,,,First step in galactose metabolism
12,Angiotensin-converting enzyme,muscle,0,Vasculature
12,Carbonic anhydrase 4,muscle,0,"Zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide; occur in muscle, where they contribute 20% of the total CA activity in mouse (https://pubmed.ncbi.nlm.nih.gov/18003750/)"
12,collagen alpha-6(VI) chain-like,,,Basal lamina component of epithelial cells
12,"Phosphofructokinase, muscle",muscle,0,Glycolysis
12,Solute carrier family 25 member 5,muscle,0,Antiporter for ADP/ATP exchange between the mitochondrial matrix and cytoplasm
12,Vitellogenin-1,egg,1,
12,Voltage-dependent anion-selective channel protein 1 (Fragment),muscle,0,Mitochondrial outer membrane protein
